Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Domestic_Gross,USD_Worldwide_Gross
1,04/23/2019,Avengers: Endgame,"$400,000,000","$858,373,000","$2,797,800,564"
2,05/20/2011,Pirates of the Caribbean: On Stranger Tides,"$379,000,000","$241,071,802","$1,045,713,802"
3,04/22/2015,Avengers: Age of Ultron,"$365,000,000","$459,005,868","$1,395,316,979"
4,12/16/2015,Star Wars Ep. VII: The Force Awakens,"$306,000,000","$936,662,225","$2,064,615,817"
5,04/25/2018,Avengers: Infinity War,"$300,000,000","$678,815,482","$2,044,540,523"
6,05/24/2007,Pirates of the Caribbean: At World’s End,"$300,000,000","$309,420,425","$960,996,492"
7,11/13/2017,Justice League,"$300,000,000","$229,024,295","$655,945,209"
8,10/06/2015,Spectre,"$300,000,000","$200,074,175","$879,500,760"
9,12/18/2019,Star Wars: The Rise of Skywalker,"$275,000,000","$515,202,542","$1,072,848,487"
10,05/23/2018,Solo: A Star Wars Story,"$275,000,000","$213,767,512","$393,151,347"
11,03/07/2012,John Carter,"$263,700,000","$73,058,679","$282,778,100"
12,03/23/2016,Batman v Superman: Dawn of Justice,"$263,000,000","$330,360,194","$872,395,091"
13,07/11/2019,The Lion King,"$260,000,000","$543,638,043","$1,654,381,934"
14,11/24/2010,Tangled,"$260,000,000","$200,821,936","$585,574,317"
15,05/04/2007,Spider-Man 3,"$258,000,000","$336,530,303","$894,860,230"
16,04/22/2016,Captain America: Civil War,"$250,000,000","$408,084,349","$1,151,918,521"
17,07/15/2009,Harry Potter and the Half-Blood Prince,"$250,000,000","$302,089,278","$930,673,167"
18,12/12/2013,The Hobbit: The Desolation of Smaug,"$250,000,000","$258,241,522","$960,115,124"
19,12/10/2014,The Hobbit: The Battle of the Five Armies,"$250,000,000","$255,119,788","$942,872,139"
20,04/07/2017,The Fate of the Furious,"$250,000,000","$225,764,765","$1,236,703,796"
21,12/17/2009,Avatar,"$237,000,000","$760,507,625","$2,845,899,541"
22,06/28/2006,Superman Returns,"$232,000,000","$200,120,000","$391,081,192"
23,07/19/2012,The Dark Knight Rises,"$230,000,000","$448,139,099","$1,082,228,107"
24,05/23/2017,Pirates of the Caribbean: Dead Men Tell No Tales,"$230,000,000","$172,558,876","$794,861,794"
25,11/14/2008,Quantum of Solace,"$230,000,000","$169,368,427","$591,692,078"
26,04/25/2012,The Avengers,"$225,000,000","$623,357,910","$1,515,100,211"
27,07/06/2006,Pirates of the Caribbean: Dead Man’s Chest,"$225,000,000","$423,315,812","$1,066,179,725"
28,06/14/2013,Man of Steel,"$225,000,000","$291,045,518","$667,999,518"
29,05/16/2008,The Chronicles of Narnia: Prince Caspian,"$225,000,000","$141,621,490","$417,341,288"
30,07/02/2013,The Lone Ranger,"$225,000,000","$89,302,115","$260,002,115"
31,06/27/2012,The Amazing Spider-Man,"$220,000,000","$262,030,663","$757,890,267"
32,04/11/2012,Battleship,"$220,000,000","$65,233,400","$313,477,717"
33,06/20/2017,Transformers: The Last Knight,"$217,000,000","$130,168,683","$602,893,340"
34,06/09/2015,Jurassic World,"$215,000,000","$652,306,625","$1,669,979,967"
35,05/23/2012,Men in Black 3,"$215,000,000","$179,020,854","$654,213,485"
36,06/24/2009,Transformers: Revenge of the Fallen,"$210,000,000","$402,111,870","$836,519,699"
37,06/25/2014,Transformers: Age of Extinction,"$210,000,000","$245,439,076","$1,104,054,072"
38,05/26/2006,X-Men: The Last Stand,"$210,000,000","$234,362,462","$459,260,946"
39,05/14/2010,Robin Hood,"$210,000,000","$105,487,148","$322,459,006"
40,12/14/2005,King Kong,"$207,000,000","$218,080,025","$550,517,357"
41,12/07/2007,The Golden Compass,"$205,000,000","$70,107,728","$367,262,558"
42,08/26/2020,Tenet,"$205,000,000","$57,929,000","$361,959,475"
43,02/13/2018,Black Panther,"$200,000,000","$700,059,566","$1,336,494,321"
44,12/18/1997,Titanic,"$200,000,000","$659,363,944","$2,207,986,545"
45,12/13/2017,Star Wars Ep. VIII: The Last Jedi,"$200,000,000","$620,181,382","$1,331,635,141"
46,06/15/2018,Incredibles 2,"$200,000,000","$608,581,744","$1,242,805,359"
47,12/14/2016,Rogue One: A Star Wars Story,"$200,000,000","$532,177,324","$1,055,135,598"
48,06/16/2016,Finding Dory,"$200,000,000","$486,295,561","$1,025,006,125"
49,06/20/2019,Toy Story 4,"$200,000,000","$434,038,008","$1,073,080,329"
50,06/18/2010,Toy Story 3,"$200,000,000","$415,004,880","$1,068,879,522"
51,04/24/2013,Iron Man 3,"$200,000,000","$408,992,272","$1,215,392,272"
52,04/28/2017,Guardians of the Galaxy Vol 2,"$200,000,000","$389,813,101","$869,113,101"
53,06/30/2004,Spider-Man 2,"$200,000,000","$373,524,485","$794,697,557"
54,03/04/2010,Alice in Wonderland,"$200,000,000","$334,191,110","$1,025,491,110"
55,10/26/2012,Skyfall,"$200,000,000","$304,360,277","$1,110,526,981"
56,12/11/2012,The Hobbit: An Unexpected Journey,"$200,000,000","$303,003,568","$1,015,372,746"
57,06/21/2013,Monsters University,"$200,000,000","$268,488,329","$743,455,810"
58,03/08/2013,Oz the Great and Powerful,"$200,000,000","$234,770,996","$490,359,051"
59,05/21/2014,X-Men: Days of Future Past,"$200,000,000","$233,921,534","$747,862,775"
60,04/16/2014,The Amazing Spider-Man 2,"$200,000,000","$202,853,933","$708,996,336"
61,06/23/2011,Cars 2,"$200,000,000","$191,450,875","$560,155,383"
62,07/31/2019,Fast & Furious Presents: Hobbs & Shaw,"$200,000,000","$173,956,935","$760,373,491"
63,12/17/2010,Tron: Legacy,"$200,000,000","$172,062,763","$399,866,199"
64,11/12/2009,2012,"$200,000,000","$166,112,167","$757,677,748"
65,11/14/2018,Fantastic Beasts: The Crimes of Grindelwald,"$200,000,000","$159,555,901","$651,280,475"
66,05/21/2009,Terminator Salvation,"$200,000,000","$125,322,469","$365,491,792"
67,06/17/2011,Green Lantern,"$200,000,000","$116,601,172","$219,535,492"
68,05/28/2010,Prince of Persia: Sands of Time,"$200,000,000","$90,759,676","$336,359,676"
69,06/05/2019,Dark Phoenix,"$200,000,000","$65,845,974","$246,356,895"
70,02/28/2020,Onward,"$200,000,000","$61,555,145","$127,912,438"
71,12/16/2020,Wonder Woman 1984,"$200,000,000","$46,530,051","$166,089,247"
72,09/04/2020,Mulan,"$200,000,000",$0,"$69,965,374"
73,06/29/2011,Transformers: Dark of the Moon,"$195,000,000","$352,390,543","$1,123,794,079"
74,06/02/2017,The Mummy,"$195,000,000","$80,101,125","$409,953,905"
75,02/27/2013,Jack the Giant Slayer,"$195,000,000","$65,187,603","$197,687,603"
76,04/01/2015,Furious 7,"$190,000,000","$353,007,020","$1,516,881,526"
77,05/16/2013,Star Trek Into Darkness,"$190,000,000","$228,778,661","$467,381,584"
78,06/19/2013,World War Z,"$190,000,000","$202,706,711","$531,861,650"
79,05/10/2013,The Great Gatsby,"$190,000,000","$144,840,419","$353,640,419"
80,11/06/2009,Disney’s A Christmas Carol,"$190,000,000","$137,855,863","$315,709,697"
81,07/11/2013,Pacific Rim,"$190,000,000","$101,802,906","$411,002,906"
82,11/25/2015,The Good Dinosaur,"$187,500,000","$123,087,120","$333,771,037"
83,05/02/2008,Iron Man,"$186,000,000","$318,604,126","$585,171,547"
84,07/11/2008,The Dark Knight,"$185,000,000","$533,720,947","$999,046,281"
85,05/22/2008,Indiana Jones and the Kingdom of the Crystal Skull,"$185,000,000","$317,101,119","$786,635,413"
86,06/21/2012,Brave,"$185,000,000","$237,282,182","$554,606,532"
87,02/23/2017,Kong: Skull Island,"$185,000,000","$168,052,812","$561,072,059"
88,07/21/2016,Star Trek Beyond,"$185,000,000","$158,848,340","$335,673,708"
89,10/17/2019,Maleficent: Mistress of Evil,"$185,000,000","$113,929,605","$489,346,495"
90,09/29/2017,Blade Runner 2049,"$185,000,000","$92,054,159","$259,238,971"
91,10/25/2019,Terminator: Dark Fate,"$185,000,000","$62,253,077","$250,372,367"
92,05/22/2019,Aladdin,"$182,000,000","$355,559,216","$1,046,649,706"
93,10/25/2017,Thor: Ragnarok,"$180,000,000","$315,058,289","$850,482,778"
94,12/09/2005,"The Chronicles of Narnia: The Lion, the Witch a…","$180,000,000","$291,710,957","$720,539,572"
95,05/28/2014,Maleficent,"$180,000,000","$241,407,328","$758,536,735"
96,11/14/2016,Fantastic Beasts and Where to Find Them,"$180,000,000","$234,037,575","$811,724,385"
97,06/27/2008,WALL-E,"$180,000,000","$223,808,164","$532,508,025"
98,08/10/2007,Rush Hour 3,"$180,000,000","$140,125,968","$256,585,882"
99,06/27/2016,The Legend of Tarzan,"$180,000,000","$126,643,061","$348,902,025"
100,11/23/2011,Hugo,"$180,000,000","$73,864,507","$180,047,784"
101,07/20/2017,Valerian and the City of a Thousand Planets,"$180,000,000","$40,479,370","$215,098,356"
102,02/06/2015,Jupiter Ascending,"$179,000,000","$47,482,519","$181,982,519"
103,07/16/2018,Mission: Impossible—Fallout,"$178,000,000","$220,159,104","$787,176,729"
104,05/18/2016,X-Men: Apocalypse,"$178,000,000","$155,442,489","$542,537,546"
105,08/09/2018,The Meg,"$178,000,000","$145,443,742","$527,370,715"
106,05/28/2014,Edge of Tomorrow,"$178,000,000","$100,206,256","$367,028,980"
107,03/06/2019,Captain Marvel,"$175,000,000","$426,829,839","$1,129,727,388"
108,04/07/2016,The Jungle Book,"$175,000,000","$364,001,123","$953,554,418"
109,06/12/2015,Inside Out,"$175,000,000","$356,461,711","$855,038,387"
110,07/05/2017,Spider-Man: Homecoming,"$175,000,000","$334,201,140","$880,166,350"
111,08/02/2016,Suicide Squad,"$175,000,000","$325,100,054","$746,846,894"
112,05/28/2009,Up,"$175,000,000","$293,004,164","$731,463,377"
113,10/27/2017,Coco,"$175,000,000","$210,460,015","$798,237,597"
114,11/21/2018,Ralph Breaks The Internet,"$175,000,000","$201,091,711","$529,290,830"
115,03/27/2009,Monsters vs. Aliens,"$175,000,000","$198,351,526","$381,687,380"
116,06/16/2017,Cars 3,"$175,000,000","$152,901,115","$383,541,369"
117,08/07/2009,G.I. Joe: The Rise of Cobra,"$175,000,000","$150,201,498","$302,469,017"
118,06/30/1999,Wild Wild West,"$175,000,000","$113,805,681","$221,229,335"
119,08/01/2008,The Mummy: Tomb of the Dragon Emperor,"$175,000,000","$102,491,776","$405,760,225"
120,06/22/2007,Evan Almighty,"$175,000,000","$100,289,690","$174,131,329"
121,07/28/1995,Waterworld,"$175,000,000","$88,246,220","$264,246,220"
122,01/08/2020,Dolittle,"$175,000,000","$77,047,065","$251,409,156"
123,05/11/2017,King Arthur: Legend of the Sword,"$175,000,000","$39,175,066","$139,630,336"
124,12/06/2013,47 Ronin,"$175,000,000","$38,362,475","$151,716,815"
125,06/06/2018,Jurassic World: Fallen Kingdom,"$170,000,000","$417,719,760","$1,308,334,005"
126,07/31/2014,Guardians of the Galaxy,"$170,000,000","$333,714,112","$770,882,395"
127,05/07/2010,Iron Man 2,"$170,000,000","$312,433,331","$621,156,389"
128,03/28/2014,Captain America: The Winter Soldier,"$170,000,000","$259,746,958","$714,401,889"
129,07/09/2014,Dawn of the Planet of the Apes,"$170,000,000","$208,545,589","$710,644,566"
130,11/10/2004,The Polar Express,"$170,000,000","$188,578,855","$312,719,437"
131,05/30/2012,Snow White and the Huntsman,"$170,000,000","$155,136,755","$401,021,746"
132,07/01/2003,Terminator 3: Rise of the Machines,"$170,000,000","$150,358,296","$433,058,296"
133,05/05/2004,Van Helsing,"$170,000,000","$120,150,546","$300,150,546"
134,03/27/2019,Dumbo,"$170,000,000","$114,766,307","$353,166,307"
135,05/29/2019,Godzilla: King of the Monsters,"$170,000,000","$110,500,138","$383,299,915"
136,05/20/2015,Tomorrowland,"$170,000,000","$93,436,322","$206,627,518"
137,02/01/2019,Alita: Battle Angel,"$170,000,000","$85,838,210","$401,900,040"
138,05/20/2016,Alice Through the Looking Glass,"$170,000,000","$77,042,381","$276,928,112"
139,05/21/2010,Shrek Forever After,"$165,000,000","$238,736,787","$756,244,673"
140,10/24/2016,Doctor Strange,"$165,000,000","$232,641,920","$676,354,481"
141,10/25/2014,Big Hero 6,"$165,000,000","$222,527,828","$649,657,407"
142,03/26/2010,How to Train Your Dragon,"$165,000,000","$217,581,232","$494,870,992"
143,11/01/2012,Wreck-It Ralph,"$165,000,000","$189,412,677","$496,511,521"
144,11/05/2014,Interstellar,"$165,000,000","$188,017,894","$651,994,868"
145,06/22/2016,Independence Day: Resurgence,"$165,000,000","$103,144,286","$384,169,424"
146,07/29/2011,Cowboys and Aliens,"$163,000,000","$100,368,560","$176,038,324"
147,03/16/2017,Beauty and the Beast,"$160,000,000","$504,014,165","$1,255,080,655"
148,06/27/2019,Spider-Man: Far From Home,"$160,000,000","$390,532,085","$1,132,183,514"
149,12/06/2018,Aquaman,"$160,000,000","$335,061,807","$1,143,758,700"
150,05/17/2007,Shrek the Third,"$160,000,000","$322,719,944","$807,330,936"
151,07/16/2010,Inception,"$160,000,000","$292,576,195","$728,582,465"
152,11/18/2015,The Hunger Games: Mockingjay - Part 2,"$160,000,000","$281,723,902","$648,986,787"
153,05/17/2013,Fast and Furious 6,"$160,000,000","$238,679,850","$789,300,444"
154,05/14/2014,Godzilla,"$160,000,000","$200,676,069","$529,076,069"
155,06/03/2011,X-Men: First Class,"$160,000,000","$146,408,305","$355,408,305"
156,12/25/2008,The Curious Case of Benjamin Button,"$160,000,000","$127,509,326","$329,631,958"
157,07/14/2010,The Sorcerer's Apprentice,"$160,000,000","$63,150,991","$217,986,320"
158,05/12/2006,Poseidon,"$160,000,000","$60,674,817","$181,674,817"
159,05/25/2016,Warcraft,"$160,000,000","$47,365,290","$438,899,824"
160,11/01/2019,The Irishman,"$159,000,000",$0,"$910,234"
161,09/29/2016,Deepwater Horizon,"$156,000,000","$61,433,527","$122,603,824"
162,12/10/2010,The Chronicles of Narnia: The Voyage of the Daw…,"$155,000,000","$104,386,950","$418,186,950"
163,06/24/2015,Terminator: Genisys,"$155,000,000","$89,760,956","$432,150,894"
164,03/16/2018,Pacific Rim: Uprising,"$155,000,000","$59,874,525","$290,930,148"
165,11/24/2004,Alexander,"$155,000,000","$34,297,191","$167,297,191"
166,07/14/2017,War for the Planet of the Apes,"$152,000,000","$146,880,162","$489,592,267"
167,05/25/2001,Pearl Harbor,"$151,500,000","$198,539,855","$449,239,853"
168,07/02/2007,Transformers,"$151,000,000","$319,246,193","$708,272,592"
169,11/20/2019,Frozen II,"$150,000,000","$477,373,578","$1,446,925,396"
170,05/29/2017,Wonder Woman,"$150,000,000","$412,563,408","$818,058,221"
171,11/22/2013,Frozen,"$150,000,000","$400,953,009","$1,267,483,831"
172,02/10/2016,Zootopia,"$150,000,000","$341,268,248","$1,005,954,958"
173,07/11/2007,Harry Potter and the Order of the Phoenix,"$150,000,000","$292,137,260","$940,743,940"
174,11/18/2005,Harry Potter and the Goblet of Fire,"$150,000,000","$290,201,752","$891,320,084"
175,05/15/2003,The Matrix Reloaded,"$150,000,000","$281,553,689","$738,576,929"
176,12/14/2007,I am Legend,"$150,000,000","$256,393,010","$585,532,684"
177,01/27/2016,Moana,"$150,000,000","$248,757,044","$636,155,760"
178,07/01/2008,Hancock,"$150,000,000","$227,946,274","$624,234,272"
179,07/15/2005,Charlie and the Chocolate Factory,"$150,000,000","$206,459,076","$475,825,484"
180,06/29/2007,Ratatouille,"$150,000,000","$206,445,654","$626,549,695"
181,10/30/2013,Thor: The Dark World,"$150,000,000","$206,362,140","$644,602,516"
182,06/15/2005,Batman Begins,"$150,000,000","$205,343,774","$359,004,502"
183,07/29/2015,Mission: Impossible—Rogue Nation,"$150,000,000","$195,042,377","$688,858,992"
184,07/18/2017,Dunkirk,"$150,000,000","$190,068,280","$519,452,014"
185,04/29/2011,Thor,"$150,000,000","$181,030,624","$449,326,618"
186,11/07/2008,Madagascar: Escape 2 Africa,"$150,000,000","$180,174,880","$599,680,774"
187,05/01/2009,X-Men Origins: Wolverine,"$150,000,000","$179,883,157","$374,825,760"
188,05/22/2009,Night at the Museum: Battle of the Smithsonian,"$150,000,000","$177,243,721","$402,231,063"
189,05/26/2011,Kung Fu Panda 2,"$150,000,000","$165,249,063","$664,837,547"
190,05/14/2015,Mad Max: Fury Road,"$150,000,000","$153,636,354","$367,960,491"
191,05/03/2019,Pokémon: Detective Pikachu,"$150,000,000","$144,105,346","$432,107,145"
192,11/05/2003,The Matrix Revolutions,"$150,000,000","$139,270,910","$427,300,260"
193,03/20/2018,Ready Player One,"$150,000,000","$137,690,172","$579,055,653"
194,11/04/2005,Chicken Little,"$150,000,000","$135,386,665","$310,043,823"
195,05/05/2006,Mission: Impossible III,"$150,000,000","$133,501,348","$399,387,745"
196,05/15/2009,Angels & Demons,"$150,000,000","$133,375,846","$490,875,846"
197,05/13/2004,Troy,"$150,000,000","$133,298,577","$483,152,040"
198,07/01/2010,The Last Airbender,"$150,000,000","$131,772,187","$319,713,881"
199,11/02/2007,Bee Movie,"$150,000,000","$126,631,277","$287,594,577"
200,07/24/2009,G-Force,"$150,000,000","$119,436,770","$292,817,841"
201,11/21/2008,Bolt,"$150,000,000","$114,053,579","$328,015,029"
202,03/28/2012,Wrath of the Titans,"$150,000,000","$83,670,083","$305,270,083"
203,11/16/2007,Beowulf,"$150,000,000","$82,280,579","$195,080,579"
204,05/09/2012,Dark Shadows,"$150,000,000","$79,727,149","$238,202,668"
205,06/28/2013,White House Down,"$150,000,000","$73,103,784","$205,440,387"
206,02/12/2010,The Wolfman,"$150,000,000","$62,189,884","$142,634,358"
207,12/15/2016,The Great Wall,"$150,000,000","$45,157,105","$334,486,852"
208,09/25/2015,Pan,"$150,000,000","$35,088,320","$151,525,973"
209,03/11/2011,Mars Needs Moms,"$150,000,000","$21,392,758","$39,549,758"
210,02/04/2022,Moonfall,"$150,000,000",$0,$0
211,11/03/2006,Flushed Away,"$149,000,000","$64,665,672","$179,357,126"
212,06/08/2012,Madagascar 3: Europe's Most Wanted,"$145,000,000","$216,391,482","$746,921,271"
213,12/14/2011,Mission: Impossible—Ghost Protocol,"$145,000,000","$209,397,903","$694,713,230"
214,06/05/2014,How to Train Your Dragon 2,"$145,000,000","$177,002,924","$614,586,270"
215,06/16/1999,Tarzan,"$145,000,000","$171,091,819","$448,191,819"
216,02/20/2014,Mr. Peabody & Sherman,"$145,000,000","$111,506,430","$269,806,430"
217,11/20/2012,Rise of the Guardians,"$145,000,000","$103,412,758","$306,900,902"
218,04/08/2005,Sahara,"$145,000,000","$68,671,925","$121,645,390"
219,07/13/2016,Ghostbusters,"$144,000,000","$128,350,574","$229,008,658"
220,11/22/2002,Die Another Day,"$142,000,000","$160,942,139","$431,942,139"
221,07/09/2003,Pirates of the Caribbean: The Curse of the Blac…,"$140,000,000","$305,410,819","$654,310,819"
222,05/08/2009,Star Trek,"$140,000,000","$257,730,019","$386,839,614"
223,07/01/1998,Armageddon,"$140,000,000","$201,578,182","$554,600,000"
224,07/03/2002,Men in Black 2,"$140,000,000","$190,418,803","$441,767,803"
225,07/22/2011,Captain America: The First Avenger,"$140,000,000","$176,654,505","$370,569,776"
226,01/23/2016,Kung Fu Panda 3,"$140,000,000","$143,528,619","$521,170,825"
227,07/10/1998,Lethal Weapon 4,"$140,000,000","$130,444,603","$285,400,000"
228,03/27/2013,G.I. Joe: Retaliation,"$140,000,000","$122,523,060","$375,740,705"
229,12/05/2003,The Last Samurai,"$140,000,000","$111,110,575","$456,810,575"
230,12/21/2005,Fun With Dick And Jane,"$140,000,000","$110,550,000","$203,018,919"
231,12/05/2014,Exodus: Gods and Kings,"$140,000,000","$65,014,513","$268,314,513"
232,06/30/2016,The BFG,"$140,000,000","$55,483,770","$199,646,680"
233,10/03/2019,Gemini Man,"$140,000,000","$48,546,770","$166,623,705"
234,02/24/2016,Gods of Egypt,"$140,000,000","$31,153,464","$138,836,756"
235,05/03/2002,Spider-Man,"$139,000,000","$403,706,375","$821,706,375"
236,03/06/2009,Watchmen,"$138,000,000","$107,509,799","$186,976,250"
237,07/29/2005,Stealth,"$138,000,000","$32,116,746","$76,416,746"
238,06/13/2008,The Incredible Hulk,"$137,500,000","$134,806,913","$265,573,859"
239,06/20/2003,Hulk,"$137,000,000","$132,177,234","$245,031,679"
240,07/11/2001,Final Fantasy: The Spirits Within,"$137,000,000","$32,131,830","$85,131,830"
241,11/14/2012,"The Twilight Saga: Breaking Dawn, Part 2","$136,200,000","$292,324,737","$829,724,737"
242,03/15/2013,The Croods,"$135,000,000","$187,168,425","$573,068,425"
243,12/25/2015,The Revenant,"$135,000,000","$183,637,894","$532,938,302"
244,11/19/1999,The World is Not Enough,"$135,000,000","$126,930,660","$361,730,660"
245,03/04/2011,Rango,"$135,000,000","$123,477,607","$245,724,600"
246,11/14/2003,Master and Commander: The Far Side of the World,"$135,000,000","$93,926,386","$212,912,137"
247,07/17/2013,Turbo,"$135,000,000","$83,028,130","$286,896,578"
248,06/02/2016,Teenage Mutant Ninja Turtles: Out of the Shadows,"$135,000,000","$82,051,601","$245,328,374"
249,11/18/2011,Happy Feet Two,"$135,000,000","$64,006,466","$157,956,466"
250,07/28/2006,Miami Vice,"$135,000,000","$63,478,838","$164,920,076"
251,10/31/2018,The Nutcracker and the Four Realms,"$132,900,000","$54,858,851","$170,024,300"
252,06/24/2005,War of the Worlds,"$132,000,000","$234,280,354","$606,836,535"
253,11/26/2014,Penguins of Madagascar,"$132,000,000","$83,350,911","$366,942,531"
254,11/15/2013,The Hunger Games: Catching Fire,"$130,000,000","$424,668,047","$864,868,047"
255,05/31/2004,Harry Potter and the Prisoner of Azkaban,"$130,000,000","$249,757,726","$789,961,033"
256,08/03/2007,The Bourne Ultimatum,"$130,000,000","$227,471,070","$444,043,396"
257,07/03/2018,Ant-Man and the Wasp,"$130,000,000","$216,648,740","$623,144,660"
258,06/06/2008,Kung Fu Panda,"$130,000,000","$215,434,591","$631,910,531"
259,07/14/2015,Ant-Man,"$130,000,000","$180,202,163","$518,858,449"
260,03/19/2015,Home,"$130,000,000","$177,397,510","$385,997,896"
261,12/19/2018,Mary Poppins Returns,"$130,000,000","$171,958,438","$348,901,032"
262,10/28/2011,Puss in Boots,"$130,000,000","$149,260,504","$554,987,477"
263,11/05/2010,Megamind,"$130,000,000","$148,415,853","$321,887,208"
264,07/18/2003,Bad Boys II,"$130,000,000","$138,540,870","$273,271,982"
265,03/20/2014,Rio 2,"$130,000,000","$131,538,435","$492,846,291"
266,07/23/2010,Salt,"$130,000,000","$118,311,368","$290,650,494"
267,03/27/2014,Noah,"$130,000,000","$101,200,044","$352,831,065"
268,10/28/2011,The Adventures of Tintin,"$130,000,000","$77,591,831","$373,993,951"
269,05/31/2013,After Earth,"$130,000,000","$60,522,097","$251,499,665"
270,11/26/2008,Australia,"$130,000,000","$49,554,002","$215,080,810"
271,07/19/2013,R.I.P.D.,"$130,000,000","$33,618,855","$79,076,678"
272,01/03/2019,How to Train Your Dragon: The Hidden World,"$129,000,000","$160,799,505","$522,746,115"
273,11/18/2011,"The Twilight Saga: Breaking Dawn, Part 1","$127,500,000","$281,287,133","$689,420,051"
274,05/19/2000,Dinosaur,"$127,500,000","$137,748,063","$356,148,063"
275,02/23/2017,Logan,"$127,000,000","$226,277,068","$614,202,315"
276,12/18/2014,Night at the Museum: Secret of the Tomb,"$127,000,000","$113,746,621","$353,756,621"
277,07/13/2011,Harry Potter and the Deathly Hallows: Part II,"$125,000,000","$381,193,157","$1,334,392,544"
278,11/19/2014,The Hunger Games: Mockingjay - Part 1,"$125,000,000","$337,135,885","$766,575,131"
279,11/15/2001,Harry Potter and the Sorcerer’s Stone,"$125,000,000","$317,871,467","$965,054,122"
280,12/04/2019,Jumanji: The Next Level,"$125,000,000","$316,831,246","$800,128,637"
281,11/17/2010,Harry Potter and the Deathly Hallows: Part I,"$125,000,000","$296,131,568","$955,371,891"
282,05/19/2006,The Da Vinci Code,"$125,000,000","$217,536,138","$767,820,459"
283,04/30/2003,X-Men 2,"$125,000,000","$214,949,694","$406,348,630"
284,04/21/2011,Fast Five,"$125,000,000","$210,031,325","$630,163,454"
285,08/08/2014,Teenage Mutant Ninja Turtles,"$125,000,000","$191,204,754","$485,004,754"
286,12/16/2011,Sherlock Holmes: A Game of Shadows,"$125,000,000","$186,848,418","$535,663,443"
287,05/27/2004,The Day After Tomorrow,"$125,000,000","$186,740,799","$555,840,117"
288,03/17/2017,The Boss Baby,"$125,000,000","$175,003,033","$527,965,936"
289,04/01/2010,Clash of the Titans,"$125,000,000","$163,214,888","$493,214,888"
290,10/12/2016,Trolls,"$125,000,000","$153,707,064","$343,242,613"
291,05/19/1998,Godzilla,"$125,000,000","$136,314,294","$376,000,000"
292,05/30/2012,Prometheus,"$125,000,000","$126,477,084","$402,448,265"
293,08/10/2012,The Bourne Legacy,"$125,000,000","$113,203,870","$280,355,920"
294,06/20/1997,Batman & Robin,"$125,000,000","$107,325,195","$238,317,814"
295,07/05/2018,Skyscraper,"$125,000,000","$68,420,120","$304,868,961"
296,01/03/2020,The Call of the Wild,"$125,000,000","$62,342,368","$107,360,936"
297,08/03/2012,Total Recall,"$125,000,000","$58,877,969","$211,856,088"
298,12/21/2016,Assassin’s Creed,"$125,000,000","$54,647,948","$240,759,682"
299,12/29/2016,Monster Trucks,"$125,000,000","$33,370,166","$61,642,798"
300,08/27/1999,The 13th Warrior,"$125,000,000","$32,698,899","$61,698,899"
301,11/17/2000,How the Grinch Stole Christmas,"$123,000,000","$260,348,825","$345,445,403"
302,05/24/2000,Mission: Impossible 2,"$120,000,000","$215,409,889","$549,588,516"
303,06/30/2000,The Perfect Storm,"$120,000,000","$182,618,434","$328,711,434"
304,07/20/2016,Jason Bourne,"$120,000,000","$162,192,920","$416,168,316"
305,06/15/2007,Fantastic Four: Rise of the Silver Surfer,"$120,000,000","$131,921,738","$289,480,691"
306,11/21/2012,Life of Pi,"$120,000,000","$124,987,022","$619,310,368"
307,02/16/2007,Ghost Rider,"$120,000,000","$115,802,596","$229,545,589"
308,04/09/2018,Rampage,"$120,000,000","$101,028,233","$427,947,217"
309,06/27/2003,Charlie's Angels: Full Throttle,"$120,000,000","$100,814,328","$227,163,273"
310,08/09/2013,Elysium,"$120,000,000","$93,050,117","$286,192,091"
311,04/19/2013,Oblivion,"$120,000,000","$89,107,235","$287,916,633"
312,03/24/2017,Power Rangers,"$120,000,000","$85,364,450","$142,531,552"
313,07/19/2002,Stuart Little 2,"$120,000,000","$64,956,806","$166,000,000"
314,02/12/2014,RoboCop,"$120,000,000","$58,607,007","$242,981,799"
315,06/11/2004,The Chronicles of Riddick,"$120,000,000","$57,712,751","$107,212,751"
316,08/05/2015,The Fantastic Four,"$120,000,000","$56,117,548","$167,849,187"
317,05/09/2008,Speed Racer,"$120,000,000","$43,945,766","$93,394,462"
318,07/22/2005,The Island,"$120,000,000","$35,818,913","$163,018,913"
319,12/17/2010,How Do You Know?,"$120,000,000","$30,212,620","$49,628,177"
320,06/23/2010,Knight and Day,"$117,000,000","$76,423,035","$258,751,370"
321,10/02/2018,Venom,"$116,000,000","$213,511,408","$853,530,899"
322,05/19/1999,Star Wars Ep. I: The Phantom Menace,"$115,000,000","$474,544,677","$1,027,044,677"
323,05/19/2005,Star Wars Ep. III: Revenge of the Sith,"$115,000,000","$380,270,577","$848,998,877"
324,05/16/2002,Star Wars Ep. II: Attack of the Clones,"$115,000,000","$310,676,740","$656,695,615"
325,11/02/2001,"Monsters, Inc.","$115,000,000","$290,149,425","$560,483,719"
326,07/26/2013,The Wolverine,"$115,000,000","$132,556,852","$416,456,852"
327,02/07/1997,Dante’s Peak,"$115,000,000","$67,163,857","$178,200,000"
328,04/06/2016,The Huntsman: Winter’s War,"$115,000,000","$48,003,015","$165,149,302"
